yardline_100,ydstogo,decision,prob
30,24,go_for_it,0.3333333333333333
30,26,field_goal,0.3333333333333333
30,26,go_for_it,0.3333333333333333
30,26,punt,0.3333333333333333
30,29,field_goal,1
31,1,field_goal,0.22033898305084745
31,1,go_for_it,0.7796610169491526
31,2,field_goal,0.6428571428571429
31,2,go_for_it,0.35714285714285715
31,3,field_goal,0.5454545454545454
31,3,go_for_it,0.45454545454545453
31,4,field_goal,0.8518518518518519
31,4,go_for_it,0.14814814814814814
31,5,field_goal,0.8571428571428571
31,5,go_for_it,0.14285714285714285
31,6,field_goal,0.918918918918919
31,6,go_for_it,0.08108108108108109
31,7,field_goal,0.7857142857142857
31,7,go_for_it,0.21428571428571427
31,8,field_goal,1
31,9,field_goal,0.8064516129032258
31,9,go_for_it,0.16129032258064516
31,9,punt,0.03225806451612903
31,10,field_goal,0.7368421052631579
31,10,go_for_it,0.2631578947368421
31,11,field_goal,0.8125
31,11,go_for_it,0.1875
31,12,field_goal,1
31,13,field_goal,0.9
31,13,go_for_it,0.1
31,14,field_goal,0.8
31,14,go_for_it,0.2
31,15,field_goal,0.9230769230769231
31,15,punt,0.07692307692307693
31,16,field_goal,0.6
31,16,go_for_it,0.4
31,17,field_goal,1
31,18,field_goal,1
31,19,field_goal,0.5
31,19,go_for_it,0.5
31,20,field_goal,1
31,21,field_goal,0.6666666666666666
31,21,go_for_it,0.3333333333333333
31,22,field_goal,1
31,23,field_goal,1
31,24,field_goal,0.6666666666666666
31,24,go_for_it,0.3333333333333333
31,25,field_goal,1
